,CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,ENTEROC_NMP_100mL,OD_PORC,OD_PORC_SUP,OD_PORC_MED,OD_PORC_FON,TOX_D_48_UT,TOX_V_15_UT,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_FON_15_UT,SEMAFORO
1434,OCCCN5227M1,PRESA FRANCISCO ZARCO 1,CUENCAS CENTRALES DEL NORTE,DURANGO,NAZAS,PRESA FRANCISCO ZARCO,PRESA FRANCISCO ZARCO,LENTICO (HUMEDAL),PRESA,-103.83652,25.27378,2019,8.44,21.74,16.0,3.0,3.0,,,94.0,89.8,80.0,,,1.0,1.0,1.0,1.0,Verde
1435,OCCCN5228M1,PRESA FRANCISCO ZARCO 2,CUENCAS CENTRALES DEL NORTE,DURANGO,NAZAS,PRESA FRANCISCO ZARCO,PRESA FRANCISCO ZARCO,LENTICO (HUMEDAL),PRESA,-103.81319,25.27459,2019,2.0,25.92,10.0,3.0,3.0,,,97.4,86.2,79.7,,,1.0,1.0,1.0,1.0,Verde
1436,OCCCN5234M1,PRESA FRANCISCO ZARCO 3,CUENCAS CENTRALES DEL NORTE,DURANGO,CUENCAME,PRESA FRANCISCO ZARCO,PRESA FRANCISCO ZARCO,LENTICO (HUMEDAL),PRESA,-103.77764,25.26567,2019,4.12,28.42,10.0,3.0,3.0,,,99.1,90.1,79.3,,,1.0,1.0,1.0,1.0,Verde
1437,OCCCN5235M1,PARQUE ESTATAL CA&ON DE FERNANDEZ 1,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,LOS ANGELES,RIO NAZAS,LOTICO (HUMEDAL),RIO,-103.76833,25.27506,2019,2.0,10.0,10.0,471.5,3.0,,106.8,,,,1.0,1.0,,,,,Verde
1438,OCCCN5236M1,PARQUE ESTATAL CA&ON DE FERNANDEZ 3,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,LOS ANGELES,RIO NAZAS,LOTICO (HUMEDAL),RIO,-103.74252,25.38702,2019,2.0,10.0,10.0,495.5,25.5,,96.0,,,,1.0,1.0,,,,,Verde
1439,OCCCN5237M1,PARQUE ESTATAL CA&ON DE FERNANDEZ 2,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,LOS ANGELES,RIO NAZAS,LOTICO (HUMEDAL),RIO,-103.73193,25.30185,2019,2.0,10.0,10.0,4922.5,10.0,,109.4,,,,1.0,1.0,,,,,Amarillo
1440,OCCCN5281M1,LA FLOR,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,TORREON,PRESA LA FLOR,RIO AGUANAVAL,LOTICO,RIO,-103.28386,25.06807,2019,2.0,12.975,21.495,1139.0,3.0,,118.1,,,,1.0,1.0,,,,,Amarillo
1441,OCFSU2900,ARROYO GRANDE BRASILITO,FRONTERA SUR,CHIAPAS,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ,ARROYO GRANDE,LOTICO,ARROYO,-93.09101,16.7535,2019,63.01,108.84,64.0,24000.0,24000.0,,33.3,,,,1.0,6.807,,,,,Rojo
1442,OCFSU2901,PARQUE DE ORIENTE,FRONTERA SUR,CHIAPAS,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ,RIO SABINAL,LOTICO,RIO,-93.08889,16.75878,2019,35.16,201.19,72.0,24000.0,24000.0,,33.2,,,,1.0,1.817,,,,,Rojo
1443,OCFSU2902,PTAR PASO LIMON  AGUAS ABAJO,FRONTERA SUR,CHIAPAS,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ,RIO SABINAL,LOTICO,RIO,-93.08186,16.76496,2019,41.1,511.79,144.0,24000.0,24000.0,,32.1,,,,1.0,1.0,,,,,Rojo
1444,OCFSU2903,RIO CHACAMAX,FRONTERA SUR,CHIAPAS,PALENQUE,CHACAMAX,RIO CHACAMAX,LOTICO,RIO,-91.97408,17.48299,2019,5.69,63.25,10.0,11000.0,4600.0,,73.2,,,,1.0,1.0,,,,,Rojo
1445,OCFSU2904,RIO SABINAL A.M. EN LA DESCARGA 20 M. ADENTRO,FRONTERA SUR,CHIAPAS,TUXTLA GUTIERREZ,PRESA CHICOASEN,RIO SABINAL,LOTICO (HUMEDAL),RIO,-93.0551,16.77223,2019,11.52,32.29,16.0,24000.0,24000.0,,39.2,,,,1.0,1.0,,,,,Amarillo
1446,OCFSU2905,AGUAS ABAJO 100M DESPUES DE LA DESCARGA DEL RIO SABINAL,FRONTERA SUR,CHIAPAS,CHIAPA DE CORZO,PRESA CHICOASEN,RIO GRIJALVA,LOTICO (HUMEDAL),RIO,-93.05511,16.77475,2019,16.74,33.23,12.0,24000.0,24000.0,,40.2,,,,1.0,1.0,,,,,Amarillo
1447,OCFSU2906,AGUAS ARRIBA 100M ANTES DE LA DESCARGA DEL RIO SABINAL,FRONTERA SUR,CHIAPAS,TUXTLA GUTIERREZ,PRESA CHICOASEN,RIO GRIJALVA,LOTICO (HUMEDAL),RIO,-93.05335,16.77064,2019,15.96,35.57,16.0,11000.0,11000.0,,40.7,,,,1.0,1.0,,,,,Amarillo
1448,OCFSU2907,PTAR TUXTLAN AGUAS ABAJO,FRONTERA SUR,CHIAPAS,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ,RIO GRIJALVA,LOTICO,RIO,-93.14589,16.75975,2019,19.3,132.36,32.495,17500.0,17500.0,,35.15,,,,1.0,1.0,,,,,Rojo
1449,OCFSU2908,CIUDAD DEL AGUA,FRONTERA SUR,CHIAPAS,CHIAPA DE CORZO,PRESA CHICOASEN,RIO GRIJALVA,LOTICO (HUMEDAL),RIO,-93.0339,16.73989,2019,10.5,30.68,12.0,1500.0,1500.0,,87.2,,,,1.0,1.0,,,,,Amarillo
